!GoldSim Version: 12.1.0192
!Model File: C:\Users\Lindsay\Documents\GitHub\DFUDA_2019_Adapter\2_Model\NPD_Routing_v8_simplified.gsp
!Simulation Time: 31-May-19 10:18
!Export Time: 31-May-19 10:18
!Result Name: RoutedFlows
!Result Path: \
!Result Description: (none)
!Time Points: 597
!Realizations: 1
!Weights:	1

!Result: Outflow
!Unit: m3/s
(Date)	#1
"08-Jan-11 23:00:00"	30.00000	
"08-Jan-11 23:30:00"	30.00000	
"09-Jan-11 0:00:00"	30.00000	
"09-Jan-11 0:30:00"	30.00000	
"09-Jan-11 1:00:00"	30.00000	
"09-Jan-11 1:30:00"	30.00000	
"09-Jan-11 2:00:00"	30.00000	
"09-Jan-11 2:30:00"	30.00000	
"09-Jan-11 3:00:00"	30.00000	
"09-Jan-11 3:30:00"	30.00000	
"09-Jan-11 4:00:00"	30.00000	
"09-Jan-11 4:30:00"	30.00000	
"09-Jan-11 5:00:00"	30.00000	
"09-Jan-11 5:30:00"	30.00000	
"09-Jan-11 6:00:00"	75.00000	
"09-Jan-11 6:30:00"	75.00000	
"09-Jan-11 7:00:00"	141.0000	
"09-Jan-11 7:30:00"	143.0713	
"09-Jan-11 8:00:00"	144.0000	
"09-Jan-11 8:30:00"	144.0000	
"09-Jan-11 9:00:00"	144.0000	
"09-Jan-11 9:30:00"	144.0000	
"09-Jan-11 10:00:00"	190.0000	
"09-Jan-11 10:30:00"	190.0000	
"09-Jan-11 11:00:00"	315.0000	
"09-Jan-11 11:30:00"	315.0000	
"09-Jan-11 12:00:00"	341.0000	
"09-Jan-11 12:30:00"	341.0000	
"09-Jan-11 13:00:00"	341.0000	
"09-Jan-11 13:30:00"	341.0000	
"09-Jan-11 14:00:00"	342.0196	
"09-Jan-11 14:30:00"	343.1296	
"09-Jan-11 15:00:00"	419.7990	
"09-Jan-11 15:30:00"	419.9196	
"09-Jan-11 16:00:00"	420.1078	
"09-Jan-11 16:30:00"	420.5105	
"09-Jan-11 17:00:00"	420.8302	
"09-Jan-11 17:30:00"	420.9819	
"09-Jan-11 18:00:00"	420.9126	
"09-Jan-11 18:30:00"	420.6662	
"09-Jan-11 19:00:00"	445.4886	
"09-Jan-11 19:30:00"	445.2178	
"09-Jan-11 20:00:00"	445.2988	
"09-Jan-11 20:30:00"	445.4988	
"09-Jan-11 21:00:00"	445.6491	
"09-Jan-11 21:30:00"	445.6982	
"09-Jan-11 22:00:00"	445.8036	
"09-Jan-11 22:30:00"	446.1304	
"09-Jan-11 23:00:00"	446.4962	
"09-Jan-11 23:30:00"	446.7390	
"10-Jan-11 0:00:00"	446.7588	
"10-Jan-11 0:30:00"	446.5819	
"10-Jan-11 1:00:00"	496.0335	
"10-Jan-11 1:30:00"	496.0301	
"10-Jan-11 2:00:00"	496.0445	
"10-Jan-11 2:30:00"	495.9159	
"10-Jan-11 3:00:00"	495.5988	
"10-Jan-11 3:30:00"	495.1076	
"10-Jan-11 4:00:00"	495.0000	
"10-Jan-11 4:30:00"	495.0000	
"10-Jan-11 5:00:00"	495.0000	
"10-Jan-11 5:30:00"	495.0000	
"10-Jan-11 6:00:00"	469.7054	
"10-Jan-11 6:30:00"	469.3865	
"10-Jan-11 7:00:00"	445.0000	
"10-Jan-11 7:30:00"	443.4731	
"10-Jan-11 8:00:00"	340.3260	
"10-Jan-11 8:30:00"	340.1024	
"10-Jan-11 9:00:00"	315.0000	
"10-Jan-11 9:30:00"	315.0000	
"10-Jan-11 10:00:00"	290.0000	
"10-Jan-11 10:30:00"	290.0000	
"10-Jan-11 11:00:00"	190.0000	
"10-Jan-11 11:30:00"	190.0000	
