!GoldSim Version: 12.1.0192
!Model File: C:\Users\Lindsay\Documents\GitHub\DFUDA_2019_Adapter\2_Model\NPD_Routing_v8_simplified.gsp
!Simulation Time: 31-May-19 10:18
!Export Time: 31-May-19 10:18
!Result Name: RoutedLakeLevel
!Result Path: \
!Result Description: (none)
!Time Points: 597
!Realizations: 1
!Weights:	1

!Result: North Pine Dam Water Level
!Unit: m
(Date)	#1
"08-Jan-11 23:00:00"	38.60000	
"08-Jan-11 23:30:00"	38.59776	
"09-Jan-11 0:00:00"	38.59553	
"09-Jan-11 0:30:00"	38.59335	
"09-Jan-11 1:00:00"	38.59138	
"09-Jan-11 1:30:00"	38.59006	
"09-Jan-11 2:00:00"	38.59040	
"09-Jan-11 2:30:00"	38.59312	
"09-Jan-11 3:00:00"	38.59804	
"09-Jan-11 3:30:00"	38.60457	
"09-Jan-11 4:00:00"	38.61226	
"09-Jan-11 4:30:00"	38.62067	
"09-Jan-11 5:00:00"	38.63125	
"09-Jan-11 5:30:00"	38.64843	
"09-Jan-11 6:00:00"	38.67578	
"09-Jan-11 6:30:00"	38.70884	
"09-Jan-11 7:00:00"	38.74768	
"09-Jan-11 7:30:00"	38.78452	
"09-Jan-11 8:00:00"	38.82378	
"09-Jan-11 8:30:00"	38.86455	
"09-Jan-11 9:00:00"	38.90595	
"09-Jan-11 9:30:00"	38.94688	
"09-Jan-11 10:00:00"	38.98797	
"09-Jan-11 10:30:00"	39.02454	
"09-Jan-11 11:00:00"	39.06082	
"09-Jan-11 11:30:00"	39.08516	
"09-Jan-11 12:00:00"	39.10656	
"09-Jan-11 12:30:00"	39.12227	
"09-Jan-11 13:00:00"	39.13559	
"09-Jan-11 13:30:00"	39.14890	
"09-Jan-11 14:00:00"	39.16275	
"09-Jan-11 14:30:00"	39.17662	
"09-Jan-11 15:00:00"	39.18995	
"09-Jan-11 15:30:00"	39.19598	
"09-Jan-11 16:00:00"	39.20135	
"09-Jan-11 16:30:00"	39.20638	
"09-Jan-11 17:00:00"	39.21038	
"09-Jan-11 17:30:00"	39.21227	
"09-Jan-11 18:00:00"	39.21141	
"09-Jan-11 18:30:00"	39.20833	
"09-Jan-11 19:00:00"	39.20489	
"09-Jan-11 19:30:00"	39.20218	
"09-Jan-11 20:00:00"	39.20299	
"09-Jan-11 20:30:00"	39.20499	
"09-Jan-11 21:00:00"	39.20649	
"09-Jan-11 21:30:00"	39.20698	
"09-Jan-11 22:00:00"	39.20803	
"09-Jan-11 22:30:00"	39.21130	
"09-Jan-11 23:00:00"	39.21496	
"09-Jan-11 23:30:00"	39.21739	
"10-Jan-11 0:00:00"	39.21759	
"10-Jan-11 0:30:00"	39.21582	
"10-Jan-11 1:00:00"	39.21722	
"10-Jan-11 1:30:00"	39.21717	
"10-Jan-11 2:00:00"	39.21741	
"10-Jan-11 2:30:00"	39.21526	
"10-Jan-11 3:00:00"	39.20998	
"10-Jan-11 3:30:00"	39.20179	
"10-Jan-11 4:00:00"	39.19158	
"10-Jan-11 4:30:00"	39.17985	
"10-Jan-11 5:00:00"	39.16647	
"10-Jan-11 5:30:00"	39.15164	
"10-Jan-11 6:00:00"	39.13527	
"10-Jan-11 6:30:00"	39.11933	
"10-Jan-11 7:00:00"	39.10177	
"10-Jan-11 7:30:00"	39.08473	
"10-Jan-11 8:00:00"	39.06630	
"10-Jan-11 8:30:00"	39.05512	
"10-Jan-11 9:00:00"	39.04254	
"10-Jan-11 9:30:00"	39.03100	
"10-Jan-11 10:00:00"	39.01847	
"10-Jan-11 10:30:00"	39.00706	
"10-Jan-11 11:00:00"	38.99466	
"10-Jan-11 11:30:00"	38.99042	
"10-Jan-11 12:00:00"	38.98583	
"10-Jan-11 12:30:00"	38.98295	
"10-Jan-11 13:00:00"	38.97960	
"10-Jan-11 13:30:00"	38.97781	
"10-Jan-11 14:00:00"	38.97549	
"10-Jan-11 14:30:00"	38.97263	
"10-Jan-11 15:00:00"	38.96931	
"10-Jan-11 15:30:00"	38.96558	
"10-Jan-11 16:00:00"	38.96143	
"10-Jan-11 16:30:00"	38.95718	
"10-Jan-11 17:00:00"	38.95298	
"10-Jan-11 17:30:00"	38.94911	
"10-Jan-11 18:00:00"	38.94542	
"10-Jan-11 18:30:00"	38.94231	
"10-Jan-11 19:00:00"	38.94134	
"10-Jan-11 19:30:00"	38.94062	
"10-Jan-11 20:00:00"	38.94644	
"10-Jan-11 20:30:00"	38.96238	
"10-Jan-11 21:00:00"	38.98623	
"10-Jan-11 21:30:00"	39.01579	
"10-Jan-11 22:00:00"	39.05908	
"10-Jan-11 22:30:00"	39.10514	
"10-Jan-11 23:00:00"	39.18195	
"10-Jan-11 23:30:00"	39.27213	
"11-Jan-11 0:00:00"	39.38213	
"11-Jan-11 0:30:00"	39.48742	
"11-Jan-11 1:00:00"	39.62257	
"11-Jan-11 1:30:00"	39.74769	
"11-Jan-11 2:00:00"	39.88725	
"11-Jan-11 2:30:00"	40.00724	
"11-Jan-11 3:00:00"	40.12553	
"11-Jan-11 3:30:00"	40.16032	
"11-Jan-11 4:00:00"	40.19555	
"11-Jan-11 4:30:00"	40.20403	
"11-Jan-11 5:00:00"	40.19736	
"11-Jan-11 5:30:00"	40.17459	
"11-Jan-11 6:00:00"	40.13480	
"11-Jan-11 6:30:00"	40.07639	
"11-Jan-11 7:00:00"	40.00052	
"11-Jan-11 7:30:00"	39.90744	
"11-Jan-11 8:00:00"	39.80069	
"11-Jan-11 8:30:00"	39.68129	
"11-Jan-11 9:00:00"	39.55222	
"11-Jan-11 9:30:00"	39.42501	
"11-Jan-11 10:00:00"	39.28433	
"11-Jan-11 10:30:00"	39.18515	
"11-Jan-11 11:00:00"	39.08011	
"11-Jan-11 11:30:00"	39.01441	
"11-Jan-11 12:00:00"	38.94101	
"11-Jan-11 12:30:00"	38.92147	
"11-Jan-11 13:00:00"	38.89826	
"11-Jan-11 13:30:00"	38.88958	
"11-Jan-11 14:00:00"	38.87798	
"11-Jan-11 14:30:00"	38.87037	
"11-Jan-11 15:00:00"	38.86057	
"11-Jan-11 15:30:00"	38.85778	
"11-Jan-11 16:00:00"	38.85336	
"11-Jan-11 16:30:00"	38.85827	
"11-Jan-11 17:00:00"	38.86192	
"11-Jan-11 17:30:00"	38.86442	
"11-Jan-11 18:00:00"	38.86591	
"11-Jan-11 18:30:00"	38.86652	
"11-Jan-11 19:00:00"	38.86631	
"11-Jan-11 19:30:00"	38.86539	
"11-Jan-11 20:00:00"	38.86378	
"11-Jan-11 20:30:00"	38.86772	
"11-Jan-11 21:00:00"	38.87111	
"11-Jan-11 21:30:00"	38.87398	
